#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
騁	tɕʰeŋ2	
騅	tɕui1	
騍	wɵ3	
騎	kɛ4	～樓
騎	ki4	
騏	ki4	
騖	mu6	
騙	pʰin3	
騫	jin1	
騭	tɕɐt7	
騮	lɐu1	
騰	tɐŋ4	
騶	ɗɐu1	
騷	ɬɵ̜u1	
騸	ɕin3	
騾	lœ4	
驀	ma6	
驁	ŋɵ̜u6	
驂	ɗɔm1	
驃	pʰiu3	
驄	tʰoŋ1	
驅	kʰy1	
驊	wɔ4	
驍	hiu1	
驏	tɕɔn5	
驕	kiu1	
驗	nim6	
驗	ȵim6	
驚	keŋ1	
驛	ek9	
驟	ɗɐu1	
驢	ly4	
驢	lu4	
驤	ɬa1	
驥	kʰi3	
驪	li4	
骨	kʷɐt7	
骯	ɔŋ1	
骰	tɐu4	
骱	kɔt8	
骶	ɗɐi2	
骷	kʰu1	
骸	ɔi4	
骺	ɐu4	
骼	lɔk8	
髀	ɓi3	
髁	wɵ1	
髂	kʰɔ3	
髍	mɵ2	
髏	lɐu4	
髑	tok9	
髒	ɗɔŋ3	
髓	ɬui2	
體	tʰɐi2	
髕	pɐn5	
髖	wun1	
高	kɵ̜u1	
髟	ɓiu1	髮長
髟	ɕɔm1	屋翼
髡	kʷʰɐn1	
髣	fɔŋ2	
髦	mɵ̜u1	
髧	ɗɐm3	下垂
髫	tiu4	
髭	ɗi1	
髮	fɔt8	
髯	ȵim4	
髴	fɐt7	
髹	jɐu1	
髻	kɐi3	
鬃	ɗoŋ1	
鬆	ɬoŋ1	
鬈	kÿn4	
鬍	wu4	
鬏	ɗɐu1	
鬚	ɬu1	
鬟	wɔn4	
鬢	ɓɐn3	
鬣	lᴇɐ̯p10	
鬥	ɗɐu3	
鬧	nɵ̜u6	
鬩	kʷʰek7	
鬮	kɵ̜u1	
鬯	tɕʰa3	
鬱	wɐt7	
鬲	lek9	古炊具
鬲	ka2	河流名；通「隔」
鬻	jok9	
鬼	kʷɐi2	
鬾	ki6	
魁	wui1	
魂	wɐn4	異讀
魂	wun4	
魃	pɔt10	
魄	pʰa2	
魅	mi6	
魈	ɬiu1	
魍	mɔŋ5	
魎	la5	
魏	ŋɐi6	
魑	tɕʰi1	
魔	mɵ1	
魘	jim2	
魚	ȵy4	
魯	lu5	
魷	jɐu4	
鮁	ɓɔt8	～魚：一種淡水魚，側扁而嘴大
鮎	nim5	
鮑	ɓɔu1	
鮭	kʷɐi1	
鮮	ɬin1	
鯁	kɔŋ2	
鯉	li5	
鯊	ɕɔ1	
鯝	ku2	
鯨	keŋ4	
鯪	leŋ4	
鯰	nim5	
鯽	ɗɐk7	
鰍	tʰɐu1	
鰐	ŋɔk10	
鰓	ɬɔi1	
鰥	kʷɔn1	
鰭	ki4	
鰻	mɔn4	
鱒	ɗÿn1	
鱔	ɕin5	
鱖	kʷɐi3	
鱗	lɐn4	
鱷	ŋɔk10	
鱸	lu4	
鳥	ɗᴇɐ̯u1	白讀
鳥	ɗiu2	肏，男子性交的動作。現在一般作「屌」
鳥	niu5	文讀
鳧	fu4	
鳩	kɐu1	buk7～：班鳩
鳩	tɕɐu1	白～江：地名，在新墟鎮
鳳	foŋ6	
鳴	meŋ4	
鳶	jÿn1	
鴆	tɕɐm6	
鴇	ɓɵ̜u2	
鴉	ɔ1	
鴕	tɵ4	
鴛	jÿn1	
鴝	ky4	
鴟	tɕʰi1	
鴣	ku1	
鴦	ja1	
鴨	ɔp8	
鴯	ȵi4	
鴰	kʷɔt8	
鴻	oŋ4	
鴿	kɔp8	
鵂	jɐu1	
鵑	kÿn1	
鵒	kok7	
鵓	pɔt10	
鵜	tɐi4	
鵝	ŋɵ4	
鵠	kok7	
鵡	fu5	
鵪	ɐm1	
鵬	pɐŋ4	
鵯	ɓi1	
鵰	ɗiu1	
鵲	tʰa2	
鶇	ɗoŋ1	
鶉	tɕʰɐn1	
鶘	wu4	
鶚	ŋɔk10	
鶥	mi4	
鶩	mok9	
鶯	eŋ1	文讀
鶯	a1	白讀
鶴	ɔk10	
鶻	kʷɐt7	～鷯；～鳩
鶻	wɐt9	回～
鶼	kim1	
鷂	jiu4	
鷓	tɕɛ3	
鷗	ɐu1	
鷙	tɕi3	
鷚	lɐu6	
鷥	ɬi1	
鷦	ɗiu1	
鷯	lᴇɐ̯u1	～哥：鳥名，能人言
鷲	tɐu6	
鷸	jok9	
鷹	eŋ1	
鷺	lu6	
鸌	wɔk7	苦～雀：苦惡鳥
鸕	lu4	
鸚	eŋ1	
鸛	kun3	
鸝	li4	
鸞	lÿn4	
鹶	kʰeŋ2	苦～：又苦又鹹
鹹	ɔm4	
鹺	tɵ4	
鹼	kim2	
鹽	jim4	
鹿	lok9	
麂	ki2	
麅	pɔu4	
麇	kʷɐn1	獐
麇	kʷɐn4	成羣
麈	tɕy2	
麋	mi4	
麏	kʷɐn1	
麒	ki4	
麓	lok9	
麕	kʷɐn1	
麗	lɐi6	
麝	ɕɛ6	
麟	lɐn4	
麥	ma6	
麩	wu1	「𣗺」的訓讀，麥麩或豆粕製成的餅，可餵牲畜
麪	min6	
麫	min6	
麴	kʰok7	酒麯
麵	min6	
麻	mɔ4	
麼	mɵ1	
麽	mɵ1	
麾	kʷʰɐi1	
黃	wɔŋ4	
黌	wa4	
黍	ɕy3	
黎	lɐi4	
黏	nim1	
黑	hɐk7	
黔	kᴇɐ̯m4	
默	mɐk9	
黛	tɔi6	
黜	tɕʰɐt7	
黝	jɐu2	
點	ɗim2	
黟	ji1	
黠	ɔt10	
黢	tɕÿt7	
黥	keŋ4	
黧	lɐi4	
黨	ɗɔŋ2	
黯	ɔm4	
黲	tʰɔm2	
黴	mui4	
黷	tok9	
黹	tɕi2	
黻	fɐt7	
黼	pʰu2	
黽	ma5	蛙
黽	mɐn5	
黿	ȵÿn4	
鼉	tɵ4	
鼎	ɗeŋ2	
鼐	nɔi6	
鼓	ku2	
鼔	ku2	
鼕	ɗoŋ1	
鼗	tɵ̜u4	
鼙	pi4	
鼠	ɕy2	
鼢	fɐn4	
鼬	jɐu6	
鼯	ŋ̍4	
鼴	jin2	
鼷	kʰɐi1	
鼹	jin2	
鼻	pɐt9	口語：～涕|～屎|～竉|～鼻(bi6)|嶺～
鼻	pi6	
鼽	tɕɐu4	
鼾	hɔn1	
齇	tɕɔ1	
齈	noŋ1	
齉	nɔŋ6	
齊	tɐi4	
齋	tɕɔi1	
齎	ɗɐi1	
齏	ɗɐi1	
齒	tɕʰi2	
齔	tɕʰɐn3	
齙	pᴇɐ̯u4	
齜	tɕi1	
齟	ty5	
齠	tiu4	
齡	leŋ4	
齣	tɕʰɐt7	
齦	ŋɐn4	
齪	tɕʰɔk7	
齬	ȵy5	
齷	ɐk7	
龍	loŋ4	
龐	pɐŋ4	
龔	koŋ1	
龕	hɔm1	
龖	tɔp10	
龘	tɔp10	
龜	kʷɐi1	
龠	ja6	
鿫	ɵ̜u3	
鿬	tin4	
𠍲	ky4	
𠫾	ɗɐi2	去
𠱘	ŋek7	
𠸺	ŋek7	
𡃀	ŋɛ2	哭～～
𡢐	lɐu1	久
𡯪	wɔŋ1	曲脛
𡯭	wɔŋ1	曲脛
𡿩	ȵøɐ̯t8	水流貌
𢉥	ᴇɐ̯t8	擁擠
𢫦	ɓa2	
𢷕	mɐk7	
𢷕	mɐu1	
𣎴	ɗɐn2	用來維持竹竿、傘等物體直立的石座
𤺎	ɕɛ4	搔肚腩肉使發癢
𥅻	tɕʰoŋ1	看，見，認爲
𥇲	pʰy2	
𥈄	tɕʰoŋ1	看，見，認爲
𥫗	tɕok7	
𥿪	jɔŋ1	織物紕破如網狀
𦡻	pʰɐŋ3	～穀：不飽滿的穀粒
𦯈	tʰɐm2	舀水
𧊅	kʷɛ2	
𨧀	tu6	
𨨏	ɓɵ1	
𨭆	hɐk7	
𨭎	hi2	
𨶿	pʰa3	成人兩臂左右伸直的長度
𩞃	ɕa2	
𩨭	kʰœ2	手足凍僵
𩨷	kʰœ2	手足凍僵
𪐏	tɕʰɐk7	黐～～
𪥸	mɵ̜u2	「冇好」合音
𮬭	lok9	鳥，來源自壯語roeg。
