	注释：-白，=文
pʰ	[1]披被=[2]皮脾肥-疲枇琵□{菜叶片}[3]鄙匹[5]屁鼻{～涕}婢痱[6]弊毙币陛鳖[7]痱避僻劈癖疕{痂}
m	[1]咪[2]迷眉糜嵋媚[3]米美[5]谜觅密蜜[7]□{～～：一点儿}
f	[1]飞=挥非妃[2]回-{个～：一次}[3]菲毁贿[5]肺废费悔晦[6]慧会汇惠蕙
t	[1]低知[3]抵底=[5]置帝缔的智[7]滴敌谪的=镝
tʰ	[1]梯筛-[2]堤题啼=蹄提[3]钵扯{轻拉}[5]替涕屉剃[6]地弟=隶第[7]啼-{哭}
l	[1]呢{疑问词}[2]来-妮厘狸梨离篱璃尼泥呢黎[3]李={姓}里礼理鲤蠡[5]□{～～滑：很滑}[6]丽利例厉励痢利立粒力=历慝溺
ts	[1]挤[3]娣[5]祭脐济际剂[7]即鲫眷积迹绩=
tsʰ	[1]妻凄萋[2]齐=[3]七-漆[5]觑{窥见}[6]集籍疾[7]泣七=漆=膝戚辑缉
s	[1]西犀些[2]死-玺[5]四-细=[6]习袭席蓆=[7]惜=□{包括}息悉熄媳析
k	[1]基枝-肌饥机玑鸡=稽箕[2]几己[5]记寄继计既[7]急级吸=吉桔激戟击
kʰ	[1]欺=溪=[2]旗期棋其祁祈骑歧沂[3]起岂启[5]气汽弃器[6]技忌及极[7]柿-乞吃=
ŋ	[2]宜疑仪谊[3]你拟[6]二日入义艺毅呓[7]□{扭伤}
x	[1]希稀熙嬉=[2]携奚[3]喜[5]戏[6]系[7]熻{煎煮}吸
∅	[1]衣依伊医倚[2]移姨夷怡贻颐倪而寅[3]以椅[5]意亿忆缢[6]易异亦奕翼冀液腋[7]肆揖乙一益驿译屹逸
v	[1]威[2]微为{作～}遗唯惟维围[3]韦苇伟纬讳委萎诿痿[5]畏秽□{疲劳、不舒服}[6]为{～了}未味胃卫
#iau	
p	[1]标彪飙镖膘骠[3]表婊裱
pʰ	[1]飘漂{～流}[2]瓢嫖[3]瞟{理睬}[5]票漂{～白}[7]鳔
m	[1]猫=[2]苗描[3]秒渺藐杏[5]妙-[6]庙妙=谬[7]猫-{～子}
t	[1]刁雕貂[3]鸟-{骂人}[5]吊钓掉{～头}
tʰ	[1]挑=[2]调{～和}条[3]窕挑{～拣}[5]跳粜[6]调{～动}掉{丢～}悼
l	[1]□{挑动}[2]辽廖寥聊寮[3]了窈[6]料廖
ts	[1]焦礁蕉椒[3]剿[5]醮
tsʰ	[1]锹缲[2]樵=[5]俏[6]嚼-[7]樵{木柴，柴火}
s	[1]肖消宵硝霄销萧箫[3]小筱[5]笑=
k	[1]娇骄浇[3]搅=矫缴[5]叫
kʰ	[1]敲[2]乔桥侨养[3]巧[5]窍翘[6]桥轿撬[7]藠
x	[1]嚣烧=[3]晓
∅	[1]要{～求}腰幺吆妖邀[2]挠摇窑谣瑶尧饶绕姚[3]舀扰鸟=要[7]尿耀鹞
#ay	
pʰ	[3]剖否
m	[2]谋[3]某牡亩[6]茂贸
f	[2]浮=[5]阜
t	[3]斗抖陡[5]斗{～争}
tʰ	[1]偷[2]头=投[3]敨{～气}[5]透[6]豆逗毒-{～杀}[7]头-
l	[1]□{挖}[2]楼搂娄[3]篓=缕{纠缠}[6]漏陋[7]篓-{鱼～}
ts	[1]邹糟-{酒～}[3]走=蚤[5]奏
