广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
春	春	春	A3	36027	tsʰ	ən	13	阴平	tsʰən13		
村	村	村	A3	52603	tsʰ	ən	13	阴平	tsʰən13		
稱	稱	称	A3	93638	tsʰ	ən	13	阴平	tsʰən13		
丞	丞	丞	D		tsʰ	ən	24	阳平	tsʰən24		
乘	乘	乘	B	20731	tsʰ	ən	24	阳平	tsʰən24		
呈	呈	呈	B	12567	tsʰ	ən	24	阳平	tsʰən24		
城	城	城	A3	102833	tsʰ	ən	24	阳平	tsʰən24		
塵	塵	尘	B	10137	tsʰ	ən	24	阳平	tsʰən24		
存	存	存	A2	110970	tsʰ	ən	24	阳平	tsʰən24		
宸	宸	宸	D		tsʰ	ən	24	阳平	tsʰən24		
層	層	层	A3	53705	tsʰ	ən	24	阳平	tsʰən24		
忱	忱	忱	C	1268	tsʰ	ən	24	阳平	tsʰən24		
成	成	成	A1	499007	tsʰ	ən	24	阳平	tsʰən24		
承	承	承	A3	62285	tsʰ	ən	24	阳平	tsʰən24		
晨	晨	晨	B	16235	tsʰ	ən	24	阳平	tsʰən24	新	
曾	曾	曾	A3	89328	tsʰ	ən	24	阳平	tsʰən24		
橙	橙	橙	C	946	tsʰ	ən	24	阳平	tsʰən24		
沈	沈	沈	B	10628	tsʰ	ən	24	阳平	tsʰən24		
沉	沉	沉	A3	48772	tsʰ	ən	24	阳平	tsʰən24		
淳	淳	淳	C	1577	tsʰ	ən	24	阳平	tsʰən24		
測	測	测	A3	39752	tsʰ	ən	24	阳平	tsʰən24		
澄	澄	澄	C	2649	tsʰ	ən	24	阳平	tsʰən24		
盛	盛	盛	B	24387	tsʰ	ən	24	阳平	tsʰən24		
程	程	程	A2	136962	tsʰ	ən	24	阳平	tsʰən24		
純	純	纯			tsʰ	ən	24	阳平	tsʰən24		
脣	脣	唇			tsʰ	ən	24	阳平	tsʰən24		
臣	臣	臣	B	24553	tsʰ	ən	24	阳平	tsʰən24		
誠	誠	诚	B	23947	tsʰ	ən	24	阳平	tsʰən24		
辰	辰	辰	C	4755	tsʰ	ən	24	阳平	tsʰən24	新	
醇	醇	醇			tsʰ	ən	24	阳平	tsʰən24		
陳	陳	陈	A3	77914	tsʰ	ən	24	阳平	tsʰən24		
鶉	鶉	鹑			tsʰ	ən	24	阳平	tsʰən24		
忖	忖	忖	D		tsʰ	ən	42	上声	tsʰən42		
懲	懲	惩	B	8839	tsʰ	ən	42	上声	tsʰən42		
逞	逞	逞	C	1530	tsʰ	ən	42	上声	tsʰən42		
騁	騁	骋	D		tsʰ	ən	42	上声	tsʰən42		
搇	搇	搇			tsʰ	ən	42	上声	tsʰən42	按	
寸	寸	寸	B	8056	tsʰ	ən	45	去声	tsʰən45		
慎	慎	慎	B	9479	tsʰ	ən	45	去声	tsʰən45		
撐	撐	撑			tsʰ	ən	45	去声	tsʰən45	顶…	
秤	秤	秤	C	765	tsʰ	ən	45	去声	tsʰən45		
稱	稱	称	A3	93638	tsʰ	ən	45	去声	tsʰən45		
襯	襯	衬	C	3700	tsʰ	ən	45	去声	tsʰən45		
趁	趁	趁	C	6154	tsʰ	ən	45	去声	tsʰən45		
蹭	蹭	蹭	C	793	tsʰ	ən	45	去声	tsʰən45		
戚	戚	戚	C	4756	tsʰ	i	24	阳平	tsʰi24		
柒	柒	柒			tsʰ	i	24	阳平	tsʰi24	老	
漆	漆	漆			tsʰ	i	24	阳平	tsʰi24	老	
簽	簽	签			tsʰ	ien	13	阴平	tsʰien13	老	
籤	籤	签			tsʰ	ien	13	阴平	tsʰien13	老	
遷	遷	迁	B	11433	tsʰ	ien	13	阴平	tsʰien13	老	
韆	韆	千	C		tsʰ	ien	13	阴平	tsʰien13	老	
潛	潛	潜			tsʰ	ien	24	阳平	tsʰien24	老	
錢	錢	钱	A3	67304	tsʰ	ien	24	阳平	tsʰien24	老	
淺	淺	浅	B	10088	tsʰ	ien	42	上声	tsʰien42	老	
塹	塹	堑			tsʰ	ien	45	去声	tsʰien45	老	
槍	槍	枪	A3	38569	tsʰ	iaŋ	13	阴平	tsʰiaŋ13		
薔	薔	蔷	D		tsʰ	iaŋ	13	阴平	tsʰiaŋ13		
鏘	鏘	锵	D		tsʰ	iaŋ	13	阴平	tsʰiaŋ13		
牆	牆	墙	B	21101	tsʰ	iaŋ	24	阳平	tsʰiaŋ24		
搶	搶	抢	B	15596	tsʰ	iaŋ	42	上声	tsʰiaŋ42		
嗆	嗆	呛	C	1120	tsʰ	iaŋ	45	去声	tsʰiaŋ45		
蹌	蹌	跄	E		tsʰ	iaŋ	45	去声	tsʰiaŋ45		
鍬	鍬	锹	C	499	tsʰ	iau	13	阴平	tsʰiau13	老	
憔	憔	憔			tsʰ	iau	24	阳平	tsʰiau24	老	
樵	樵	樵			tsʰ	iau	24	阳平	tsʰiau24	老	
瞧	瞧	瞧			tsʰ	iau	24	阳平	tsʰiau24	老	
悄	悄	悄			tsʰ	iau	42	上声	tsʰiau42	老	
俏	俏	俏			tsʰ	iau	45	去声	tsʰiau45	老	
峭	峭	峭			tsʰ	iau	45	去声	tsʰiau45	老	
妾	妾	妾			tsʰ	ie	45	去声	tsʰie45	老	
嗤	嗤	嗤	C	1387	tsʰ	ɿ	13	阴平	tsʰɿ13		
差	差	差	A3	50349	tsʰ	ɿ	13	阴平	tsʰɿ13		
疵	疵	疵	D		tsʰ	ɿ	13	阴平	tsʰɿ13		
癡	癡	痴	C	5359	tsʰ	ɿ	13	阴平	tsʰɿ13		
笞	笞	笞	D		tsʰ	ɿ	13	阴平	tsʰɿ13		
魑	魑	魑	E		tsʰ	ɿ	13	阴平	tsʰɿ13		
跐	跐	跐			tsʰ	ɿ	13	阴平	tsʰɿ13	伸手脚	
尺	尺	尺	B	14422	tsʰ	ɿ	24	阳平	tsʰɿ24		
弛	弛	弛	C	1215	tsʰ	ɿ	24	阳平	tsʰɿ24		
慈	慈	慈	B	14141	tsʰ	ɿ	24	阳平	tsʰɿ24		
持	持	持	A2	119990	tsʰ	ɿ	24	阳平	tsʰɿ24		
池	池	池	B	10289	tsʰ	ɿ	24	阳平	tsʰɿ24		
瓷	瓷	瓷	C	4955	tsʰ	ɿ	24	阳平	tsʰɿ24		
磁	磁	磁	B	9433	tsʰ	ɿ	24	阳平	tsʰɿ24		
祠	祠	祠	C	1291	tsʰ	ɿ	24	阳平	tsʰɿ24		
詞	詞	词	A3	33669	tsʰ	ɿ	24	阳平	tsʰɿ24		
踟	踟	踟	D		tsʰ	ɿ	24	阳平	tsʰɿ24		
辭	辭	辞	B	14439	tsʰ	ɿ	24	阳平	tsʰɿ24		
遲	遲	迟	B	16808	tsʰ	ɿ	24	阳平	tsʰɿ24		
雌	雌	雌	C	4355	tsʰ	ɿ	24	阳平	tsʰɿ24		
馳	馳	驰	C	6199	tsʰ	ɿ	24	阳平	tsʰɿ24		
鶿	鶿	鹚	E		tsʰ	ɿ	24	阳平	tsʰɿ24		
侈	侈	侈	C	1703	tsʰ	ɿ	42	上声	tsʰɿ42		
址	址	址			tsʰ	ɿ	42	上声	tsʰɿ42	老	
恥	恥	耻	C	5735	tsʰ	ɿ	42	上声	tsʰɿ42		
此	此	此	A2	318534	tsʰ	ɿ	42	上声	tsʰɿ42		
齒	齒	齿	B	9415	tsʰ	ɿ	42	上声	tsʰɿ42		
伺	伺	伺	C	2570	tsʰ	ɿ	45	去声	tsʰɿ45		
刺	刺	刺	B	27891	tsʰ	ɿ	45	去声	tsʰɿ45		
掣	掣	掣	D		tsʰ	ɿ	45	去声	tsʰɿ45		
斥	斥	斥	B	8464	tsʰ	ɿ	45	去声	tsʰɿ45		
次	次	次	A2	214857	tsʰ	ɿ	45	去声	tsʰɿ45		
炙	炙	炙	D		tsʰ	ɿ	45	去声	tsʰɿ45		
熾	熾	炽	D		tsʰ	ɿ	45	去声	tsʰɿ45		
秩	秩	秩			tsʰ	ɿ	45	去声	tsʰɿ45	老	
翅	翅	翅	C	6524	tsʰ	ɿ	45	去声	tsʰɿ45	新	
賜	賜	赐	C	6431	tsʰ	ɿ	45	去声	tsʰɿ45		
赤	赤	赤	B	10981	tsʰ	ɿ	45	去声	tsʰɿ45		
氰	氰	氰	E		tsʰ	in	13	阴平	tsʰin13	老	
清	清	清	A2	127716	tsʰ	in	13	阴平	tsʰin13	老	
親	親	亲			tsʰ	in	13	阴平	tsʰin13	老	
青	青	青	A3	82619	tsʰ	in	13	阴平	tsʰin13	老	
情	情	情	A2	312900	tsʰ	in	24	阳平	tsʰin24	老	
晴	晴	晴	C	7405	tsʰ	in	24	阳平	tsʰin24	老	
秦	秦	秦			tsʰ	in	24	阳平	tsʰin24	老	
蜻	蜻	蜻	C	555	tsʰ	in	24	阳平	tsʰin24	老	
寢	寢	寝	C	2475	tsʰ	in	42	上声	tsʰin42	老	
請	請	请	A3	100226	tsʰ	in	42	上声	tsʰin42	老	
侵	侵	侵	B	26466	tsʰ	in	45	去声	tsʰin45	老	
唚	唚	吣	E		tsʰ	in	45	去声	tsʰin45	老	
沁	沁	沁	D		tsʰ	in	45	去声	tsʰin45	老	
浸	浸	浸	C	4529	tsʰ	in	45	去声	tsʰin45	老	
秋	秋	秋			tsʰ	iəu	13	阴平	tsʰiəu13	老	
鞦	鞦	秋			tsʰ	iəu	13	阴平	tsʰiəu13	老	
鰍	鰍	鳅			tsʰ	iəu	13	阴平	tsʰiəu13	老	
搓	搓	搓	C	1673	tsʰ	o	13	阴平	tsʰo13		
磋	磋	磋	D		tsʰ	o	13	阴平	tsʰo13		
蹉	蹉	蹉	D		tsʰ	o	13	阴平	tsʰo13		
歠	歠	歠			tsʰ	o	13	阴平	tsʰo13	大吃	
戳	戳	戳			tsʰ	o	24	阳平	tsʰo24	文读	
撮	撮	撮	C	1049	tsʰ	o	24	阳平	tsʰo24		
撮	撮	撮			tsʰ	o	24	阳平	tsʰo24	聚起	
挫	挫	挫	C	4089	tsʰ	o	45	去声	tsʰo45		
措	措	措	B	24172	tsʰ	o	45	去声	tsʰo45		
綽	綽	绰	C	2089	tsʰ	o	45	去声	tsʰo45		
著	著	着	A1	626326	tsʰ	o	45	去声	tsʰo45	着凉	
銼	銼	锉	C	209	tsʰ	o	45	去声	tsʰo45		
錯	錯	错	A3	62401	tsʰ	o	45	去声	tsʰo45		
鑿	鑿	凿	C	2880	tsʰ	o	45	去声	tsʰo45		
齪	齪	龊	D		tsʰ	o	45	去声	tsʰo45		
着	着	着			tsʰ	o	45	去声	tsʰo45	着凉	
充	充	充	A3	54812	tsʰ	oŋ	13	阴平	tsʰoŋ13		
匆	匆	匆	B	11540	tsʰ	oŋ	13	阴平	tsʰoŋ13		
囪	囪	囱	C	968	tsʰ	oŋ	13	阴平	tsʰoŋ13		
沖	沖	冲	B	53378	tsʰ	oŋ	13	阴平	tsʰoŋ13		
聰	聰	聪	B	10863	tsʰ	oŋ	13	阴平	tsʰoŋ13		
舂	舂	舂	D		tsʰ	oŋ	13	阴平	tsʰoŋ13		
蔥	蔥	葱	C	2147	tsʰ	oŋ	13	阴平	tsʰoŋ13		
衝	衝	冲	B	53378	tsʰ	oŋ	13	阴平	tsʰoŋ13		
蟲	蟲	虫	B	18909	tsʰ	oŋ	24	阳平	tsʰoŋ24		
叢	叢	丛	B	10665	tsʰ	oŋ	24	阳平	tsʰoŋ24		
崇	崇	崇	B	14262	tsʰ	oŋ	24	阳平	tsʰoŋ24		
從	從	从	A1	369958	tsʰ	oŋ	24	阳平	tsʰoŋ24		
重	重	重	A2	282843	tsʰ	oŋ	24	阳平	tsʰoŋ24		
寵	寵	宠	C	4108	tsʰ	oŋ	42	上声	tsʰoŋ42		
初	初	初	A3	58587	tsʰ	əu	13	阴平	tsʰəu13		
抽	抽	抽	B	22937	tsʰ	əu	13	阴平	tsʰəu13		
粗	粗	粗	B	15557	tsʰ	əu	13	阴平	tsʰəu13		
謅	謅	诌	E		tsʰ	əu	13	阴平	tsʰəu13		
搊	搊	搊			tsʰ	əu	13	阴平	tsʰəu13	抬起	
愁	愁	愁	C	6135	tsʰ	əu	24	阳平	tsʰəu24		
族	族	族	A3	74174	tsʰ	əu	24	阳平	tsʰəu24	老	
滁	滁	滁	E		tsʰ	əu	24	阳平	tsʰəu24		
畜	畜	畜	C	6821	tsʰ	əu	24	阳平	tsʰəu24	畜生	
疇	疇	畴	C	2858	tsʰ	əu	24	阳平	tsʰəu24		
稠	稠	稠	C	1194	tsʰ	əu	24	阳平	tsʰəu24		
籌	籌	筹	B	10671	tsʰ	əu	24	阳平	tsʰəu24		
綢	綢	绸	C	3098	tsʰ	əu	24	阳平	tsʰəu24		
躇	躇	躇	D		tsʰ	əu	24	阳平	tsʰəu24		
躊	躊	踌	D		tsʰ	əu	24	阳平	tsʰəu24		
酬	酬	酬	C	7011	tsʰ	əu	24	阳平	tsʰəu24		
鋤	鋤	锄	C	981	tsʰ	əu	24	阳平	tsʰəu24		
雛	雛	雏	C	1052	tsʰ	əu	24	阳平	tsʰəu24		
丑	丑	丑	C	8067	tsʰ	əu	42	上声	tsʰəu42		
儲	儲	储	B	13408	tsʰ	əu	42	上声	tsʰəu42		
楚	楚	楚	A3	39846	tsʰ	əu	42	上声	tsʰəu42		
礎	礎	础	B	30477	tsʰ	əu	42	上声	tsʰəu42		
貯	貯	贮			tsʰ	əu	42	上声	tsʰəu42		
醜	醜	丑	C	8067	tsʰ	əu	42	上声	tsʰəu42		
促	促	促	B	25792	tsʰ	əu	45	去声	tsʰəu45		
助	助	助	A3	66867	tsʰ	əu	45	去声	tsʰəu45	老	
湊	湊	凑	C	5544	tsʰ	əu	45	去声	tsʰəu45	文	
矗	矗	矗	C	1843	tsʰ	əu	45	去声	tsʰəu45		
祝	祝	祝	B	11144	tsʰ	əu	45	去声	tsʰəu45		
臭	臭	臭	C	6166	tsʰ	əu	45	去声	tsʰəu45		
觸	觸	触	B	21719	tsʰ	əu	45	去声	tsʰəu45	觸動	
醋	醋	醋	C	1712	tsʰ	əu	45	去声	tsʰəu45		
剷	剷	铲			tsʰ	uan	42	上声	tsʰuan42		
爨	爨	爨	D		tsʰ	uan	45	去声	tsʰuan45		
竄	竄	窜	C	3865	tsʰ	uan	45	去声	tsʰuan45		
篡	篡	篡			tsʰ	uan	45	去声	tsʰuan45		
搭	搭	搭	B	8626	t	a	24	阳平	ta24		
搭	搭	搭	B	8626	t	a	24	阳平	ta24		
撻	撻	挞	D		t	a	24	阳平	ta24		
瘩	瘩	瘩	C	974	t	a	24	阳平	ta24		
答	答	答	A3	72421	t	a	24	阳平	ta24		
誻	誻	誻	E		t	a	24	阳平	ta24		
跶	跶	跶			t	a	24	阳平	ta24	摔到	
跌	跌	跌			t	a	24	阳平	ta24	白读，同“跶”	
踏	踏	踏	B	9656	t	a	24	阳平	ta24		
達	達	达	A2	147907	t	a	24	阳平	ta24		
韃	韃	鞑	D		t	a	24	阳平	ta24		
打	打	打	A2	186146	t	a	42	上声	ta42	文	
大	大	大	A1	1054064	t	a	45	去声	ta45		
大	大	大	A1	1054064	t	a	45	去声	ta45		
歹	歹	歹	C	2148	t	ai	42	上声	tai42		
逮	逮	逮	C	5418	t	ai	42	上声	tai42		
代	代	代	A2	231734	t	ai	45	去声	tai45		
岱	岱	岱	D		t	ai	45	去声	tai45		
帶	帶	带	A2	124619	t	ai	45	去声	tai45		
待	待	待	A3	57757	t	ai	45	去声	tai45		
怠	怠	怠	C	1847	t	ai	45	去声	tai45		
戴	戴	戴	B	20826	t	ai	45	去声	tai45		
殆	殆	殆	D		t	ai	45	去声	tai45		
汏	汏	汏	E		t	ai	45	去声	tai45		
玳	玳	玳	D		t	ai	45	去声	tai45		
袋	袋	袋	B	18381	t	ai	45	去声	tai45		
貸	貸	贷	B	11793	t	ai	45	去声	tai45		
黛	黛	黛	D		t	ai	45	去声	tai45		
丹	丹	丹	B	19171	t	an	13	阴平	tan13		
單	單	单	A2	109359	t	an	13	阴平	tan13		
擔	擔	担	A3	51792	t	an	13	阴平	tan13		
耽	耽	耽	C	3005	t	an	13	阴平	tan13		
撣	撣	掸	C	363	t	an	24	阳平	tan24	几掸掸	
展	展	展	A1	156758	t	an	42	上声	tan42	白，展开	
膽	膽	胆	B	17486	t	an	42	上声	tan42		
但	但	但	A1	374459	t	an	45	去声	tan45		
彈	彈	弹	A3	63417	t	an	45	去声	tan45		
憚	憚	惮	D		t	an	45	去声	tan45		
擔	擔	担	A3	51792	t	an	45	去声	tan45		
旦	旦	旦	B	18569	t	an	45	去声	tan45		
氮	氮	氮	C	1055	t	an	45	去声	tan45		
淡	淡	淡	B	18779	t	an	45	去声	tan45		
蛋	蛋	蛋	B	16305	t	an	45	去声	tan45		
誕	誕	诞	C	7085	t	an	45	去声	tan45		
噹	噹	当	D		t	aŋ	13	阴平	taŋ13		
檔	檔	档	B	9248	t	aŋ	13	阴平	taŋ13		
當	當	当	A2	429274	t	aŋ	13	阴平	taŋ13		
擋	擋	挡	B	7851	t	aŋ	42	上声	taŋ42		
黨	黨	党	A3	103165	t	aŋ	42	上声	taŋ42		
擋	擋	挡	B	7851	t	aŋ	45	去声	taŋ45	挡路	
當	當	当	A2	429274	t	aŋ	45	去声	taŋ45		
盪	盪	荡	C	15268	t	aŋ	45	去声	taŋ45		
蕩	蕩	荡	C	15268	t	aŋ	45	去声	taŋ45		
刀	刀	刀	B	27292	t	au	13	阴平	tau13		
倒	倒	倒	A3	66634	t	au	42	上声	tau42		
搗	搗	捣	C	2753	t	au	42	上声	tau42		
禱	禱	祷	C	3769	t	au	42	上声	tau42		
著	著	著	A3	46239	t	au	42	上声	tau42	等着	
導	導	导	A2	124463	t	au	42	上声	tau42		
倒	倒	倒	A3	66634	t	au	45	去声	tau45		
到	到	到	A1	965035	t	au	45	去声	tau45		
導	導	导	A2	124463	t	au	45	去声	tau45	领导	
島	島	岛	A3	44056	t	au	45	去声	tau45		
悼	悼	悼	C	1997	t	au	45	去声	tau45		
盜	盜	盗	B	11595	t	au	45	去声	tau45		
稻	稻	稻	C	3607	t	au	45	去声	tau45		
道	道	道	A1	534695	t	au	45	去声	tau45		
車	車	车			t	e	13	阴平	te13	白	
得	得	得	A1	630688	t	e	24	阳平	te24		
德	德	德	A2	168917	t	e	24	阳平	te24		
堆	堆	堆	B	16920	t	əi	13	阴平	təi13		
兌	兌	兑	C	4101	t	əi	45	去声	təi45		
對	對	对	A1	703632	t	əi	45	去声	təi45		
遞	遞	递	B	13012	t	əi	45	去声	təi45	白读	
隊	隊	队	A2	162938	t	əi	45	去声	təi45		
墩	墩	墩	C	972	t	ən	13	阴平	tən13		
敦	敦	敦	B	10084	t	ən	13	阴平	tən13		
燈	燈	灯	B	25401	t	ən	13	阴平	tən13		
登	登	登	A3	42687	t	ən	13	阴平	tən13		
蹲	蹲	蹲	C	3720	t	ən	13	阴平	tən13		
盹	盹	盹	C	452	t	ən	42	上声	tən42		
等	等	等	A2	266296	t	ən	42	上声	tən42		
凳	凳	凳	C	2921	t	ən	45	去声	tən45		
噸	噸	吨	B	10403	t	ən	45	去声	tən45		
沌	沌	沌	D		t	ən	45	去声	tən45		
燉	燉	炖	D		t	ən	45	去声	tən45		
盾	盾	盾	B	16080	t	ən	45	去声	tən45		
瞪	瞪	瞪	C	6644	t	ən	45	去声	tən45		
蹬	蹬	蹬	C	1233	t	ən	45	去声	tən45		
遁	遁	遁	D		t	ən	45	去声	tən45		
鄧	鄧	邓	B	11651	t	ən	45	去声	tən45		
鈍	鈍	钝	C	1752	t	ən	45	去声	tən45		
頓	頓	顿	A3	44425	t	ən	45	去声	tən45		
飩	飩	饨	D		t	ən	45	去声	tən45		
𤢈	𤢈	𤢈			t	ən	45	去声	tən45	狗咬	
低	低	低	A3	68424	t	i	13	阴平	ti13		
堤	堤	堤	C	3840	t	i	13	阴平	ti13		
嘀	嘀	嘀	C	1318	t	i	24	阳平	ti24		
嫡	嫡	嫡	C	758	t	i	24	阳平	ti24		
急	急	急			t	i	24	阳平	ti24	白读，急忙	
敵	敵	敌	A3	78620	t	i	24	阳平	ti24		
滌	滌	涤	C	1452	t	i	24	阳平	ti24		
滴	滴	滴	B	8104	t	i	24	阳平	ti24		
狄	狄	狄	D		t	i	24	阳平	ti24		
的	的	的	A1	7922684	t	i	24	阳平	ti24		
笛	笛	笛	C	3409	t	i	24	阳平	ti24		
糴	糴	籴	E		t	i	24	阳平	ti24		
翟	翟	翟	D		t	i	24	阳平	ti24		
迪	迪	迪	D		t	i	24	阳平	ti24		
底	底	底	A3	75728	t	i	42	上声	ti42		
抵	抵	抵	B	25228	t	i	42	上声	ti42		
牴	牴	抵	D		t	i	42	上声	ti42		
邸	邸	邸	D		t	i	42	上声	ti42		
地	地	地	A1	969349	t	i	45	去声	ti45		
娣	娣	娣	D		t	i	45	去声	ti45		
弟	弟	弟	A3	42706	t	i	45	去声	ti45		
渧	渧	渧	E		t	i	45	去声	ti45		
第	第	第	A2	325780	t	i	45	去声	ti45		
締	締	缔	C	2897	t	i	45	去声	ti45		
蒂	蒂	蒂	B	15183	t	i	45	去声	ti45		
諦	諦	谛	D		t	i	45	去声	ti45		
遞	遞	递			t	i	45	去声	ti45	文读	
爹	爹	爹	C	7016	t	ia	13	阴平	tia13		
巔	巔	巅	D		t	ien	13	阴平	tien13		
掂	掂	掂	C	567	t	ien	13	阴平	tien13		
滇	滇	滇	D		t	ien	13	阴平	tien13		
癲	癲	癫	D		t	ien	13	阴平	tien13		
典	典	典	B	28860	t	ien	42	上声	tien42		
玷	玷	玷	C	541	t	ien	42	上声	tien42		
碘	碘	碘	C	823	t	ien	42	上声	tien42		
腆	腆	腆	D		t	ien	42	上声	tien42		
點	點	点	A2	300800	t	ien	42	上声	tien42		
佃	佃	佃	C	1401	t	ien	45	去声	tien45		
墊	墊	垫	C	3233	t	ien	45	去声	tien45		
奠	奠	奠	C	3020	t	ien	45	去声	tien45		
店	店	店	B	28926	t	ien	45	去声	tien45		
惦	惦	惦	C	752	t	ien	45	去声	tien45		
殿	殿	殿	B	12667	t	ien	45	去声	tien45		
澱	澱	淀	C	1557	t	ien	45	去声	tien45		
甸	甸	甸	C	3270	t	ien	45	去声	tien45		
電	電	电	A2	183834	t	ien	45	去声	tien45		
靛	靛	靛	D		t	ien	45	去声	tien45		
掂	掂	掂			t	iaŋ	13	阴平	tiaŋ13	白讀	
凋	凋	凋	D		t	iau	13	阴平	tiau13		
刁	刁	刁	C	871	t	iau	13	阴平	tiau13		
叼	叼	叼	C	797	t	iau	13	阴平	tiau13		
彫	彫	雕	D		t	iau	13	阴平	tiau13		
挑	挑	挑			t	iau	13	阴平	tiau13	白，挑颈	
碉	碉	碉	C	848	t	iau	13	阴平	tiau13		
貂	貂	貂	D		t	iau	13	阴平	tiau13		
雕	雕	雕	C	8713	t	iau	13	阴平	tiau13		
鵰	鵰	鵰	E		t	iau	13	阴平	tiau13		
吊	吊	吊	C	6637	t	iau	45	去声	tiau45		
弔	弔	吊	D		t	iau	45	去声	tiau45		
掉	掉	掉	A3	40541	t	iau	45	去声	tiau45		
調	調	调	A3	106379	t	iau	45	去声	tiau45		
釣	釣	钓	C	4813	t	iau	45	去声	tiau45		
喋	喋	喋	D		t	ie	24	阳平	tie24		
牒	牒	牒	D		t	ie	24	阳平	tie24		
疊	疊	迭	D		t	ie	24	阳平	tie24		
疊	疊	叠	C	5027	t	ie	24	阳平	tie24		
碟	碟	碟	C	2375	t	ie	24	阳平	tie24		
蝶	蝶	蝶	C	4811	t	ie	24	阳平	tie24		
諜	諜	谍	C	4274	t	ie	24	阳平	tie24		
跌	跌	跌	B	11967	t	ie	24	阳平	tie24		
迭	迭	迭	D		t	ie	24	阳平	tie24		
丁	丁	丁	B	23479	t	in	13	阴平	tin13		
叮	叮	叮	C	3188	t	in	13	阴平	tin13		
盯	盯	盯	B	8041	t	in	13	阴平	tin13		
釘	釘	钉	C	5059	t	in	13	阴平	tin13		
頂	頂	顶	B	31318	t	in	42	上声	tin42		
鼎	鼎	鼎	C	4507	t	in	42	上声	tin42		
定	定	定	A1	422538	t	in	45	去声	tin45		
訂	訂	订	B	22991	t	in	45	去声	tin45		
釘	釘	钉	C	5059	t	in	45	去声	tin45		
錠	錠	锭	C	461	t	in	45	去声	tin45		
丟	丟	丢	B	11285	t	iəu	13	阴平	tiəu13		
哆	哆	哆	C	1417	t	o	13	阴平	to13		
多	多	多	A1	481689	t	o	13	阴平	to13		
咄	咄	咄	D		t	o	24	阳平	to24		
奪	奪	夺	B	22148	t	o	24	阳平	to24		
戳	戳	戳	C	2051	t	o	24	阳平	to24	白读	
掇	掇	掇	E		t	o	24	阳平	to24		
踱	踱	踱	C	1878	t	o	24	阳平	to24		
鐸	鐸	铎	D		t	o	24	阳平	to24		
哚	哚	哚	E		t	o	42	上声	to42		
垛	垛	垛	C	573	t	o	42	上声	to42		
朵	朵	朵	B	12435	t	o	42	上声	to42		
朶	朶	朶	E		t	o	42	上声	to42		
躲	躲	躲	B	11201	t	o	42	上声	to42		
剁	剁	剁	D		t	o	45	去声	to45		
墮	墮	堕	C	2977	t	o	45	去声	to45		
惰	惰	惰	C	1302	t	o	45	去声	to45		
跺	跺	跺	C	765	t	o	45	去声	to45		
冬	冬	冬	B	16368	t	oŋ	13	阴平	toŋ13		
咚	咚	咚	D		t	oŋ	13	阴平	toŋ13		
東	東	东	A2	206238	t	oŋ	13	阴平	toŋ13		
鼕	鼕	冬	D		t	oŋ	13	阴平	toŋ13		
湩	湩	湩			t	oŋ	24	阳平	toŋ24	浑浊	
懂	懂	懂	B	21117	t	oŋ	42	上声	toŋ42		
董	董	董	B	11450	t	oŋ	42	上声	toŋ42		
侗	侗	侗	E		t	oŋ	45	去声	toŋ45		
凍	凍	冻	C	5984	t	oŋ	45	去声	toŋ45		
動	動	动	A1	426839	t	oŋ	45	去声	toŋ45		
恫	恫	恫	D		t	oŋ	45	去声	toŋ45		
棟	棟	栋	C	2830	t	oŋ	45	去声	toŋ45		
洞	洞	洞	B	30399	t	oŋ	45	去声	toŋ45		
腖	腖	胨	E		t	oŋ	45	去声	toŋ45		
兜	兜	兜	C	3663	t	əu	13	阴平	təu13		
嘟	嘟	嘟	D		t	əu	13	阴平	təu13		
株	株	株			t	əu	13	阴平	təu13	白，颗	
督	督	督			t	əu	13	阴平	təu13	监督	
都	都	都	A1	439568	t	əu	13	阴平	təu13		
櫝	櫝	椟	D		t	əu	24	阳平	təu24		
毒	毒	毒	A3	34517	t	əu	24	阳平	təu24		
瀆	瀆	渎	D		t	əu	24	阳平	təu24		
牘	牘	牍	C	447	t	əu	24	阳平	təu24		
犢	犢	犊	D		t	əu	24	阳平	təu24		
獨	獨	独	A3	64201	t	əu	24	阳平	təu24		
督	督	督	A3	34523	t	əu	24	阳平	təu24	督促	
篤	篤	笃	D		t	əu	24	阳平	təu24		
讀	讀	读	A3	48304	t	əu	24	阳平	təu24		
黷	黷	黩	D		t	əu	24	阳平	təu24		
堵	堵	堵	C	4960	t	əu	42	上声	təu42		
抖	抖	抖	B	9584	t	əu	42	上声	təu42	文	
斗	斗	斗	A3	69456	t	əu	42	上声	təu42		
睹	睹	睹	C	3346	t	əu	42	上声	təu42		
肚	肚	肚			t	əu	42	上声	təu42	猪肚	
肚	肚	肚	B	9102	t	əu	42	上声	təu42		
蚪	蚪	蚪	C	556	t	əu	42	上声	təu42		
賭	賭	赌	C	6759	t	əu	42	上声	təu42		
陡	陡	陡	C	4421	t	əu	42	上声	təu42		
妒	妒	妒	C	3228	t	əu	45	去声	təu45		
就	就	就			t	əu	45	去声	təu45	白	
度	度	度	A2	214376	t	əu	45	去声	təu45		
杜	杜	杜	B	19246	t	əu	45	去声	təu45		
渡	渡	渡	B	15692	t	əu	45	去声	təu45		
